Feature Set,Accuracy,Features
Random Features 20250611_005035,0.5246338215712384,"['day_of_week', '^gspc', 'macd', 'rolling_std_5', 'roc', 'stoch_d', 'momentum', 'dxy', 'stoch_k', 'cci', 'return_3d', 'atr', 'rolling_mean_5', 'gc=f', 'momentum_slope']"
Best Random Trial 20250611_005035,0.5246338215712384,"['day_of_week', '^gspc', 'macd', 'rolling_std_5', 'roc', 'stoch_d', 'momentum', 'dxy', 'stoch_k', 'cci', 'return_3d', 'atr', 'rolling_mean_5', 'gc=f', 'momentum_slope']"
Volatility Indicators,0.515625,"['atr', 'bbw', 'rolling_std_5']"
Random Features 20250611_004950,0.5046604527296937,"['gc=f', 'day_of_week', 'rolling_mean_5', 'gold_oil_ratio', 'bbw', 'roc', 'cci', 'cl=f', '^gspc', 'stoch_d', 'return_1d', 'momentum', 'dxy', 'momentum_slope', 'month']"
Random Features 20250611_004428,0.5033288948069241,"['stoch_k', 'return_1d', 'adx', 'rolling_std_5', 'month', 'dxy', 'roc', 'rolling_mean_5', 'return_3d', 'macd', 'bbw', 'gc=f', 'cci', 'day_of_week', 'stoch_d']"
Random Features 20250611_004645,0.4993342210386152,"['macd', 'cci', 'atr', 'return_1d', 'month', 'rolling_mean_5', 'dxy', 'rolling_std_5', 'bbw', 'momentum_slope', 'stoch_k', 'stoch_d', 'rsi', 'day_of_week', 'momentum']"
Random Features 20250611_004734,0.4980026631158455,"['adx', 'day_of_week', 'bbw', 'gc=f', 'rsi', 'atr', 'cci', 'return_3d', 'rolling_mean_5', 'return_1d', 'momentum', 'momentum_slope', 'macd', 'rolling_std_5', 'dxy']"
Random Features 20250611_004559,0.4953395472703062,"['rolling_mean_5', 'cl=f', '^vix', 'rolling_std_5', 'gold_oil_ratio', 'return_1d', 'momentum', 'gc=f', '^gspc', 'month', 'stoch_d', 'roc', 'stoch_k', 'bbw', 'adx']"
Random Features 20250611_004904,0.4940079893475366,"['^vix', 'return_3d', 'month', 'stoch_d', 'day_of_week', 'gold_oil_ratio', 'stoch_k', 'bbw', 'cci', 'dxy', 'rsi', 'atr', 'momentum', 'macd', 'cl=f']"
Random Features 20250611_004237,0.4900133155792276,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Random Features 20250611_004514,0.4873501997336884,"['month', 'momentum', 'adx', 'macd', 'atr', 'momentum_slope', 'cl=f', 'return_3d', '^vix', 'bbw', 'stoch_k', 'rolling_mean_5', 'stoch_d', 'roc', 'return_1d']"
Random Features 20250611_004343,0.4820239680426098,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Random Features 20250611_004819,0.4806924101198402,"['cci', 'return_1d', 'day_of_week', 'macd', 'adx', 'roc', 'bbw', 'momentum_slope', 'stoch_d', 'rolling_std_5', 'return_3d', 'dxy', 'gold_oil_ratio', 'rolling_mean_5', 'momentum']"
