Feature Set,Accuracy,Features
Best Features 20250611_080806,0.5272969374167776,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Features 20250611_080300,0.507323568575233,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Features 20250611_082227,0.507323568575233,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Random Features 20250611_075431,0.5046604527296937,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Random Trial 20250611_075431,0.5046604527296937,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Random Features 20250611_080602,0.4993342210386152,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Random Trial 20250611_080602,0.4993342210386152,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Features 20250611_075637,0.4953395472703062,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Random Features 20250611_073926,0.4873501997336884,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Features 20250611_083000,0.48601864181091875,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Features 20250611_074414,0.4846870838881491,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Random Features 20250611_074144,0.4820239680426098,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Random Trial 20250611_074144,0.4820239680426098,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Random Features 20250611_082023,0.4713715046604527,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Random Trial 20250611_082023,0.4713715046604527,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Random Trial 20250611_080044,0.470039946737683,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Random Features 20250611_080044,0.470039946737683,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Best Random Trial 20250611_082752,0.4687083888149134,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
Random Features 20250611_082752,0.4687083888149134,"['dxy', 'bbw', 'rsi', 'roc', '^gspc', 'rolling_mean_5', 'macd', 'rolling_std_5', 'adx', 'momentum', 'return_3d', 'gold_oil_ratio', 'cci', 'atr', 'gc=f']"
